"","V1","V2","V3"
"GSM794865","2","1","3"
"GSM794866","1","2","1"
"GSM794867","1","2","1"
"GSM794868","1","2","1"
"GSM794869","2","1","1"
"GSM794870","2","1","2"
"GSM794871","2","2","1"
"GSM794872","1","3","2"
"GSM794873","2","1","3"
"GSM794874","1","3","1"
"GSM794875","1","2","1"
"GSM794876","2","3","2"
"GSM794877","1","3","4"
"GSM794878","1","2","1"
"GSM794879","1","2","4"
"GSM794880","2","1","2"
"GSM794881","1","2","1"
"GSM794882","2","1","3"
"GSM794883","1","3","4"
"GSM794884","1","3","2"
"GSM794885","2","2","1"
"GSM794886","2","2","1"
"GSM794887","2","2","1"
"GSM794888","1","2","4"
"GSM794889","1","2","1"
"GSM794890","1","2","1"
"GSM794891","1","2","4"
"GSM794892","1","3","4"
"GSM794893","1","2","1"
"GSM794894","2","1","3"
"GSM794895","2","2","1"
"GSM794897","2","1","3"
"GSM794898","1","3","4"
"GSM794899","1","2","1"
"GSM794900","1","2","1"
"GSM794901","1","2","1"
"GSM794902","2","1","3"
"GSM794903","1","2","1"
"GSM794904","1","2","1"
"GSM794905","1","3","2"
"GSM794906","2","1","4"
"GSM794907","2","2","1"
"GSM794908","1","2","1"
"GSM794909","2","1","2"
"GSM794910","1","3","4"
"GSM794911","2","1","3"
"GSM794912","1","3","2"
"GSM794913","2","3","4"
"GSM794914","1","2","1"
"GSM794915","1","3","4"
"GSM794916","1","2","1"
"GSM794917","2","2","1"
"GSM794918","2","1","2"
"GSM794919","2","1","3"
"GSM794920","1","2","1"
"GSM794921","2","1","3"
"GSM794922","1","2","1"
"GSM794923","2","1","3"
"GSM794924","1","2","1"
"GSM794925","2","3","4"
"GSM794926","2","1","3"
"GSM794927","1","2","1"
"GSM794928","1","2","1"
"GSM794929","1","2","1"
"GSM794930","1","2","4"
"GSM794931","2","1","3"
"GSM794932","1","2","1"
"GSM794934","2","1","3"
"GSM794936","2","1","3"
"GSM794937","2","1","3"
"GSM794938","2","1","3"
"GSM794939","1","3","4"
"GSM794940","2","1","3"
"GSM794941","1","2","1"
"GSM794942","2","1","3"
"GSM794943","2","1","3"
"GSM794944","1","2","1"
"GSM794945","1","3","2"
"GSM794946","2","1","4"
"GSM794947","1","3","2"
"GSM794948","1","3","2"
"GSM794949","1","3","2"
"GSM794950","1","3","2"
"GSM794951","2","1","3"
"GSM794952","2","1","3"
"GSM794953","1","3","4"
"GSM794954","1","3","2"
"GSM794955","1","2","4"
"GSM794956","2","2","1"
"GSM794957","1","2","1"
"GSM794958","1","2","1"
"GSM794959","1","2","1"
"GSM794960","1","2","1"
"GSM794961","2","1","2"
"GSM794962","1","3","1"
"GSM794963","1","2","1"
"GSM794964","1","3","2"
"GSM794965","2","1","3"
"GSM794966","1","3","2"
"GSM794967","2","1","2"
"GSM794968","1","2","1"
"GSM794969","1","3","4"
"GSM794970","1","3","2"
"GSM794971","1","3","4"
"GSM794972","1","3","2"
"GSM794973","1","2","1"
"GSM794974","1","3","4"
"GSM794975","1","3","4"
"GSM794976","1","2","1"
"GSM794977","2","2","1"
"GSM794978","2","3","2"
"GSM794979","1","3","2"
"GSM794980","1","2","1"
"GSM794981","1","2","1"
"GSM794982","1","3","2"
"GSM794983","2","1","3"
"GSM794984","1","3","1"
"GSM794985","1","2","1"
"GSM794986","1","3","4"
"GSM794987","1","2","4"
"GSM794988","2","1","3"
"GSM794989","2","1","3"
"GSM794990","1","2","1"
"GSM794991","1","3","2"
"GSM794992","1","2","1"
"GSM794993","2","1","3"
"GSM794994","1","3","4"
"GSM794995","1","3","2"
"GSM794996","1","3","1"
"GSM794997","2","1","1"
"GSM794998","1","2","1"
"GSM794999","2","1","3"
"GSM795000","2","1","2"
"GSM795001","1","3","2"
"GSM795002","1","2","1"
"GSM795003","1","2","1"
"GSM795004","2","1","1"
"GSM795005","1","2","1"
"GSM795006","2","1","1"
"GSM795007","2","2","1"
"GSM795008","1","3","2"
"GSM795009","1","3","2"
"GSM795010","1","2","1"
"GSM795011","1","2","4"
"GSM795012","1","3","2"
"GSM795014","1","2","4"
"GSM795015","2","1","3"
"GSM795016","1","3","2"
"GSM795017","2","1","3"
"GSM795018","2","2","1"
"GSM795019","1","2","1"
"GSM795020","2","1","1"
"GSM795021","1","2","1"
"GSM795022","2","1","3"
"GSM795023","1","2","1"
"GSM795024","2","1","3"
"GSM795025","1","2","1"
"GSM795026","2","2","1"
"GSM795027","1","3","1"
"GSM795028","2","1","3"
"GSM795029","1","3","4"
"GSM795030","1","3","2"
"GSM795031","1","3","4"
"GSM795032","2","1","3"
"GSM795033","1","3","2"
"GSM795034","1","2","1"
"GSM795035","2","2","1"
"GSM795036","2","1","3"
"GSM795037","1","3","4"
"GSM795038","2","1","3"
"GSM795039","2","2","1"
"GSM795040","2","1","3"
"GSM795041","2","3","2"
"GSM795042","2","1","2"
"GSM795043","1","3","2"
"GSM795044","2","2","1"
"GSM795045","1","3","2"
"GSM795046","2","1","3"
"GSM795047","1","2","1"
"GSM795048","1","3","2"
"GSM795049","1","2","1"
"GSM795050","2","2","1"
"GSM795051","2","1","3"
"GSM795052","1","3","4"
"GSM795053","2","1","2"
"GSM795054","1","3","4"
"GSM795055","2","2","1"
"GSM795056","2","2","1"
"GSM795057","2","1","3"
"GSM795058","1","3","4"
"GSM795059","2","1","3"
"GSM795060","2","3","4"
"GSM795061","1","2","1"
"GSM795062","2","1","3"
"GSM795063","2","2","1"
"GSM795064","2","1","1"
"GSM795065","1","3","4"
"GSM795066","1","3","2"
"GSM795067","2","1","3"
"GSM795068","2","1","3"
"GSM795069","2","1","3"
"GSM795070","1","2","1"
"GSM795071","1","3","2"
"GSM795072","1","3","2"
"GSM795073","1","2","1"
"GSM795074","1","2","1"
"GSM795075","1","2","1"
"GSM795076","1","2","1"
"GSM795077","1","2","1"
"GSM795078","2","2","1"
"GSM795079","2","1","3"
"GSM795080","1","2","1"
"GSM795081","2","1","3"
"GSM795082","2","2","1"
"GSM795083","1","3","2"
"GSM795084","2","1","4"
"GSM795085","2","1","3"
"GSM795086","1","2","1"
"GSM795087","1","3","2"
"GSM795088","2","2","1"
"GSM795089","2","3","2"
"GSM795090","2","2","1"
"GSM795091","1","3","4"
"GSM795092","1","2","1"
"GSM795093","1","3","2"
"GSM795094","2","2","1"
"GSM795095","1","3","4"
"GSM795096","1","3","4"
"GSM795097","1","2","1"
"GSM795098","1","3","4"
"GSM795099","1","2","4"
"GSM795100","1","3","4"
"GSM795101","1","3","4"
"GSM795102","2","1","3"
"GSM795103","1","3","1"
"GSM795104","2","1","3"
"GSM795105","2","1","4"
"GSM795106","1","2","4"
"GSM795107","1","2","1"
"GSM795108","1","3","4"
"GSM795109","1","2","1"
"GSM795110","1","2","1"
"GSM795111","1","3","2"
"GSM795112","1","3","2"
"GSM795113","1","3","1"
"GSM795114","1","3","2"
"GSM795115","1","2","1"
"GSM795116","1","2","1"
"GSM795117","1","3","4"
"GSM795118","1","2","1"
"GSM795119","1","2","1"
"GSM795120","2","2","1"
"GSM795121","1","2","1"
"GSM795122","1","3","4"
"GSM795123","1","2","1"
"GSM795124","1","2","1"
