"","V1","V2","V3"
"GSM249732","2","1","2"
"GSM249734","2","1","3"
"GSM249735","1","3","1"
"GSM249736","2","1","2"
"GSM249738","2","1","2"
"GSM249739","2","2","4"
"GSM249740","1","2","4"
"GSM249741","2","2","2"
"GSM249742","2","2","4"
"GSM249743","1","2","4"
"GSM249744","2","1","2"
"GSM249745","1","3","3"
"GSM249746","2","1","3"
"GSM249747","1","3","1"
"GSM249748","1","2","4"
"GSM249749","1","3","1"
"GSM249750","1","2","4"
"GSM249751","1","3","1"
"GSM249752","2","2","2"
"GSM249754","2","1","2"
"GSM249755","2","2","4"
"GSM249756","2","3","1"
"GSM249758","2","3","1"
"GSM249759","1","2","4"
"GSM249760","2","3","1"
"GSM249762","1","3","1"
"GSM249763","1","3","1"
"GSM249764","1","2","4"
"GSM249765","1","3","1"
"GSM249766","2","1","3"
"GSM249767","2","3","3"
"GSM249768","1","2","3"
"GSM249769","2","1","2"
"GSM249770","2","1","3"
"GSM249771","1","2","4"
"GSM249773","2","1","3"
"GSM249774","2","1","2"
"GSM249775","2","1","3"
"GSM249776","2","1","2"
"GSM249777","2","1","2"
"GSM249778","2","1","2"
"GSM249780","1","3","3"
"GSM249781","2","1","1"
"GSM249782","1","2","4"
"GSM249783","2","1","3"
"GSM249784","2","2","3"
"GSM249785","2","1","2"
"GSM249786","2","1","3"
"GSM249788","2","3","1"
"GSM249789","2","1","2"
"GSM249791","2","1","3"
"GSM249792","2","3","3"
"GSM249793","2","3","1"
"GSM249794","2","1","3"
"GSM249795","1","3","1"
"GSM249796","2","1","2"
"GSM249797","1","2","4"
"GSM249798","2","1","2"
"GSM249799","2","1","2"
"GSM249800","2","3","1"
"GSM249801","2","1","2"
"GSM249802","2","1","3"
"GSM249803","1","2","4"
"GSM249804","2","1","2"
"GSM249805","1","3","1"
"GSM249806","1","2","4"
"GSM249807","1","3","1"
"GSM249808","1","3","1"
"GSM249809","1","2","4"
"GSM249810","1","3","4"
"GSM249811","1","3","1"
"GSM249812","2","1","2"
"GSM249813","1","3","1"
"GSM249814","1","2","4"
"GSM249815","1","3","1"
"GSM249816","1","2","4"
"GSM249817","1","2","4"
"GSM249818","1","2","4"
"GSM249819","2","1","2"
"GSM249820","1","3","1"
"GSM249821","1","2","4"
"GSM249822","2","3","1"
"GSM249823","1","3","1"
"GSM249824","2","1","2"
"GSM249825","1","3","1"
"GSM249826","2","1","3"
"GSM249827","2","1","2"
"GSM249828","2","3","1"
"GSM249829","1","2","4"
"GSM249830","2","1","2"
"GSM249831","1","2","1"
"GSM249832","2","1","3"
"GSM249833","2","3","1"
"GSM249834","1","2","4"
"GSM249835","1","3","1"
"GSM249836","1","2","4"
"GSM249837","2","1","2"
"GSM249838","1","2","4"
"GSM249839","2","1","2"
"GSM249840","1","3","4"
"GSM249841","2","1","3"
"GSM249842","1","3","1"
"GSM249843","1","2","4"
"GSM249844","2","3","3"
"GSM249845","1","2","4"
"GSM249846","1","2","4"
"GSM249847","2","1","3"
"GSM249848","1","2","4"
"GSM249849","2","2","4"
"GSM249850","2","1","2"
"GSM249851","2","1","2"
"GSM249852","1","3","1"
"GSM249854","1","2","4"
"GSM249855","2","1","2"
"GSM249857","2","1","2"
"GSM249858","1","2","4"
"GSM249859","1","2","4"
"GSM249860","1","2","4"
"GSM249861","2","1","3"
"GSM249862","1","3","1"
"GSM249863","1","2","4"
"GSM249864","2","1","2"
"GSM249865","1","3","1"
"GSM249866","2","1","3"
"GSM249867","1","2","4"
"GSM249871","1","2","4"
"GSM249872","1","2","4"
"GSM249873","1","3","4"
"GSM249874","1","3","1"
"GSM249875","2","1","2"
"GSM249876","1","2","4"
"GSM249877","1","3","1"
"GSM249878","2","3","3"
"GSM249879","1","2","4"
"GSM249880","2","3","3"
"GSM249881","2","1","2"
"GSM249883","2","1","3"
"GSM249884","2","3","1"
"GSM249885","1","3","1"
"GSM249886","2","1","2"
"GSM249887","1","3","1"
"GSM249888","1","3","1"
"GSM249889","1","3","3"
"GSM249890","1","2","4"
"GSM249891","2","3","1"
"GSM249893","1","3","1"
"GSM249894","2","1","2"
"GSM249895","1","2","4"
"GSM249896","1","2","4"
"GSM249897","2","3","1"
"GSM249898","2","1","2"
"GSM249899","2","3","1"
"GSM249900","2","1","2"
"GSM249902","2","1","2"
"GSM249903","1","3","1"
"GSM249904","2","1","1"
"GSM249905","2","1","1"
"GSM249906","1","3","3"
"GSM249907","1","2","4"
"GSM249909","1","2","4"
"GSM249911","1","2","4"
"GSM249912","2","3","1"
"GSM249913","2","1","2"
"GSM249914","1","2","4"
"GSM249915","1","2","4"
"GSM249916","2","1","2"
"GSM249917","1","3","1"
"GSM249918","2","1","3"
"GSM249919","2","1","2"
"GSM249920","2","1","2"
"GSM249921","2","3","3"
"GSM249922","2","1","2"
"GSM249923","1","2","4"
"GSM249924","2","3","1"
"GSM249925","1","2","1"
"GSM249926","1","3","1"
"GSM249927","1","3","3"
"GSM249928","2","1","2"
"GSM249929","2","1","2"
"GSM249930","2","1","2"
"GSM249931","1","2","4"
"GSM249932","2","1","3"
"GSM249933","1","3","1"
"GSM249934","2","1","3"
"GSM249935","1","2","4"
"GSM249936","2","3","3"
"GSM249937","2","1","2"
"GSM249938","1","3","1"
"GSM249939","2","3","3"
"GSM249940","2","1","2"
"GSM249941","2","1","2"
"GSM249942","2","1","2"
"GSM249943","2","3","3"
"GSM249944","2","3","3"
"GSM249945","1","3","4"
"GSM249947","1","2","4"
"GSM249949","1","3","1"
"GSM249950","1","2","4"
"GSM249951","1","2","4"
"GSM249953","2","1","2"
"GSM249954","2","1","3"
"GSM249955","2","3","3"
"GSM249956","1","3","4"
"GSM249957","1","2","4"
"GSM249958","2","3","1"
"GSM249959","2","1","3"
"GSM249960","1","3","1"
"GSM249961","2","1","2"
"GSM249962","1","3","3"
"GSM249963","1","3","1"
"GSM249964","1","3","1"
"GSM249965","1","3","1"
"GSM249967","2","1","1"
"GSM249968","2","3","1"
"GSM249969","2","1","3"
"GSM249970","2","2","2"
"GSM249971","2","1","3"
"GSM249972","2","1","2"
"GSM249973","2","3","3"
"GSM249975","1","3","1"
"GSM249976","2","1","3"
"GSM249979","1","2","4"
"GSM249980","2","1","2"
"GSM249981","2","1","1"
"GSM249982","1","2","4"
"GSM249983","2","1","3"
"GSM249984","1","3","1"
"GSM249986","2","1","3"
"GSM249987","2","1","3"
"GSM249988","1","2","4"
"GSM249989","1","3","1"
"GSM249990","1","2","3"
"GSM249991","2","1","2"
"GSM249992","1","2","4"
"GSM249993","1","3","1"
"GSM249994","1","3","3"
"GSM249996","2","1","3"
"GSM249997","1","2","4"
"GSM249998","2","1","3"
"GSM249999","2","1","2"
"GSM250000","1","2","1"
"GSM250001","1","2","4"
