"","V1","V2","V3"
"TCGA.20.0987","1","2","2"
"TCGA.23.1031","2","3","4"
"TCGA.24.0979","2","2","1"
"TCGA.23.1117","1","1","3"
"TCGA.23.1021","2","2","1"
"TCGA.04.1337","1","1","3"
"TCGA.20.0990","2","3","4"
"TCGA.23.1032","2","3","4"
"TCGA.23.1118","1","2","1"
"TCGA.23.1026","1","1","1"
"TCGA.20.0991","1","2","2"
"TCGA.24.1103","2","2","1"
"TCGA.24.0982","2","3","4"
"TCGA.23.1119","2","3","4"
"TCGA.23.1028","1","2","1"
"TCGA.04.1341","2","3","4"
"TCGA.20.0996","2","3","1"
"TCGA.24.1104","1","2","1"
"TCGA.23.1107","2","2","4"
"TCGA.23.1120","1","2","1"
"TCGA.23.1030","2","3","1"
"TCGA.04.1342","2","3","1"
"TCGA.23.1022","2","3","4"
"TCGA.24.1105","2","3","3"
"TCGA.23.1109","2","3","3"
"TCGA.23.1121","2","3","4"
"TCGA.04.1331","2","3","4"
"TCGA.04.1343","1","1","3"
"TCGA.23.1023","1","1","3"
"TCGA.24.0968","1","1","2"
"TCGA.23.1110","2","3","4"
"TCGA.23.1122","2","3","4"
"TCGA.04.1332","2","1","3"
"TCGA.04.1346","1","2","1"
"TCGA.23.1024","2","3","4"
"TCGA.24.0970","2","1","3"
"TCGA.23.1113","2","3","4"
"TCGA.23.1123","1","2","2"
"TCGA.04.1335","2","3","1"
"TCGA.04.1347","2","3","4"
"TCGA.23.1027","1","1","1"
"TCGA.24.0975","1","1","3"
"TCGA.23.1116","1","1","3"
"TCGA.23.1124","1","2","1"
"TCGA.04.1336","1","2","1"
"TCGA.04.1338","1","1","3"
"TCGA.24.1425","1","1","3"
"TCGA.24.1474","2","3","4"
"TCGA.24.1549","1","2","2"
"TCGA.24.1564","1","1","3"
"TCGA.24.1469","2","3","4"
"TCGA.24.1550","1","1","3"
"TCGA.24.1565","2","2","1"
"TCGA.24.1470","1","2","2"
"TCGA.24.1551","1","2","2"
"TCGA.24.1603","2","2","1"
"TCGA.24.1471","2","2","1"
"TCGA.24.1552","2","2","1"
"TCGA.24.1604","2","2","1"
"TCGA.24.1553","1","2","1"
"TCGA.24.1614","2","3","4"
