"","x"
"1","GSM794865"
"2","GSM794866"
"3","GSM794867"
"4","GSM794868"
"5","GSM794869"
"6","GSM794870"
"7","GSM794871"
"8","GSM794872"
"9","GSM794873"
"10","GSM794874"
"11","GSM794875"
"12","GSM794876"
"13","GSM794877"
"14","GSM794878"
"15","GSM794879"
"16","GSM794880"
"17","GSM794881"
"18","GSM794882"
"19","GSM794883"
"20","GSM794884"
"21","GSM794885"
"22","GSM794886"
"23","GSM794887"
"24","GSM794888"
"25","GSM794889"
"26","GSM794890"
"27","GSM794891"
"28","GSM794892"
"29","GSM794893"
"30","GSM794894"
"31","GSM794895"
"32","GSM794897"
"33","GSM794898"
"34","GSM794899"
"35","GSM794900"
"36","GSM794901"
"37","GSM794902"
"38","GSM794903"
"39","GSM794904"
"40","GSM794905"
"41","GSM794906"
"42","GSM794907"
"43","GSM794908"
"44","GSM794909"
"45","GSM794910"
"46","GSM794911"
"47","GSM794912"
"48","GSM794913"
"49","GSM794914"
"50","GSM794915"
"51","GSM794916"
"52","GSM794917"
"53","GSM794918"
"54","GSM794919"
"55","GSM794920"
"56","GSM794921"
"57","GSM794922"
"58","GSM794923"
"59","GSM794924"
"60","GSM794925"
"61","GSM794926"
"62","GSM794927"
"63","GSM794928"
"64","GSM794929"
"65","GSM794930"
"66","GSM794931"
"67","GSM794932"
"68","GSM794934"
"69","GSM794936"
"70","GSM794937"
"71","GSM794938"
"72","GSM794939"
"73","GSM794940"
"74","GSM794941"
"75","GSM794942"
"76","GSM794943"
"77","GSM794944"
"78","GSM794945"
"79","GSM794946"
"80","GSM794947"
"81","GSM794948"
"82","GSM794949"
"83","GSM794950"
"84","GSM794951"
"85","GSM794952"
"86","GSM794953"
"87","GSM794954"
"88","GSM794955"
"89","GSM794956"
"90","GSM794957"
"91","GSM794958"
"92","GSM794959"
"93","GSM794960"
"94","GSM794961"
"95","GSM794962"
"96","GSM794963"
"97","GSM794964"
"98","GSM794965"
"99","GSM794966"
"100","GSM794967"
"101","GSM794968"
"102","GSM794969"
"103","GSM794970"
"104","GSM794971"
"105","GSM794972"
"106","GSM794973"
"107","GSM794974"
"108","GSM794975"
"109","GSM794976"
"110","GSM794977"
"111","GSM794978"
"112","GSM794979"
"113","GSM794980"
"114","GSM794981"
"115","GSM794982"
"116","GSM794983"
"117","GSM794984"
"118","GSM794985"
"119","GSM794986"
"120","GSM794987"
"121","GSM794988"
"122","GSM794989"
"123","GSM794990"
"124","GSM794991"
"125","GSM794992"
"126","GSM794993"
"127","GSM794994"
"128","GSM794995"
"129","GSM794996"
"130","GSM794997"
"131","GSM794998"
"132","GSM794999"
"133","GSM795000"
"134","GSM795001"
"135","GSM795002"
"136","GSM795003"
"137","GSM795004"
"138","GSM795005"
"139","GSM795006"
"140","GSM795007"
"141","GSM795008"
"142","GSM795009"
"143","GSM795010"
"144","GSM795011"
"145","GSM795012"
"146","GSM795014"
"147","GSM795015"
"148","GSM795016"
"149","GSM795017"
"150","GSM795018"
"151","GSM795019"
"152","GSM795020"
"153","GSM795021"
"154","GSM795022"
"155","GSM795023"
"156","GSM795024"
"157","GSM795025"
"158","GSM795026"
"159","GSM795027"
"160","GSM795028"
"161","GSM795029"
"162","GSM795030"
"163","GSM795031"
"164","GSM795032"
"165","GSM795033"
"166","GSM795034"
"167","GSM795035"
"168","GSM795036"
"169","GSM795037"
"170","GSM795038"
"171","GSM795039"
"172","GSM795040"
"173","GSM795041"
"174","GSM795042"
"175","GSM795043"
"176","GSM795044"
"177","GSM795045"
"178","GSM795046"
"179","GSM795047"
"180","GSM795048"
"181","GSM795049"
"182","GSM795050"
"183","GSM795051"
"184","GSM795052"
"185","GSM795053"
"186","GSM795054"
"187","GSM795055"
"188","GSM795056"
"189","GSM795057"
"190","GSM795058"
"191","GSM795059"
"192","GSM795060"
"193","GSM795061"
"194","GSM795062"
"195","GSM795063"
"196","GSM795064"
"197","GSM795065"
"198","GSM795066"
"199","GSM795067"
"200","GSM795068"
"201","GSM795069"
"202","GSM795070"
"203","GSM795071"
"204","GSM795072"
"205","GSM795073"
"206","GSM795074"
"207","GSM795075"
"208","GSM795076"
"209","GSM795077"
"210","GSM795078"
"211","GSM795079"
"212","GSM795080"
"213","GSM795081"
"214","GSM795082"
"215","GSM795083"
"216","GSM795084"
"217","GSM795085"
"218","GSM795086"
"219","GSM795087"
"220","GSM795088"
"221","GSM795089"
"222","GSM795090"
"223","GSM795091"
"224","GSM795092"
"225","GSM795093"
"226","GSM795094"
"227","GSM795095"
"228","GSM795096"
"229","GSM795097"
"230","GSM795098"
"231","GSM795099"
"232","GSM795100"
"233","GSM795101"
"234","GSM795102"
"235","GSM795103"
"236","GSM795104"
"237","GSM795105"
"238","GSM795106"
"239","GSM795107"
"240","GSM795108"
"241","GSM795109"
"242","GSM795110"
"243","GSM795111"
"244","GSM795112"
"245","GSM795113"
"246","GSM795114"
"247","GSM795115"
"248","GSM795116"
"249","GSM795117"
"250","GSM795118"
"251","GSM795119"
"252","GSM795120"
"253","GSM795121"
"254","GSM795122"
"255","GSM795123"
"256","GSM795124"
